buy_rise_pct,sell_drop_pct,final_value,return_pct,trades,buys,sells
1.0,17.0,1129.552001,12.9552,3,2,1
1.0,17.5,1129.552001,12.9552,3,2,1
7.5,6.5,1129.289553,12.928955,5,3,2
2.0,6.5,1128.828624,12.882862,9,5,4
4.0,8.0,1128.442656,12.844266,5,3,2
4.5,8.0,1128.442656,12.844266,5,3,2
5.0,8.0,1128.442656,12.844266,5,3,2
13.0,6.0,1128.310448,12.831045,3,2,1
13.5,6.0,1128.310448,12.831045,3,2,1
14.0,6.0,1128.310448,12.831045,3,2,1
14.5,6.0,1128.310448,12.831045,3,2,1
15.0,6.0,1128.310448,12.831045,3,2,1
12.0,8.0,1128.24005,12.824005,3,2,1
12.5,8.0,1128.24005,12.824005,3,2,1
1.5,14.5,1128.145545,12.814555,3,2,1
2.0,14.5,1128.145545,12.814555,3,2,1
1.5,15.0,1128.145545,12.814555,3,2,1
2.0,15.0,1128.145545,12.814555,3,2,1
1.5,15.5,1128.145545,12.814555,3,2,1
2.0,15.5,1128.145545,12.814555,3,2,1
1.5,16.0,1128.145545,12.814555,3,2,1
2.0,16.0,1128.145545,12.814555,3,2,1
1.5,16.5,1128.145545,12.814555,3,2,1
2.0,16.5,1128.145545,12.814555,3,2,1
15.5,4.5,1128.077497,12.80775,3,2,1
15.5,5.0,1128.077497,12.80775,3,2,1
15.5,5.5,1128.077497,12.80775,3,2,1
8.0,6.0,1127.901326,12.790133,5,3,2
10.5,9.5,1127.228318,12.722832,3,2,1
1.5,8.5,1126.74431,12.674431,5,3,2
1.0,9.5,1126.498363,12.649836,5,3,2
11.0,9.0,1126.481097,12.64811,3,2,1
11.5,9.0,1125.302219,12.530222,3,2,1
2.5,14.0,1124.877031,12.487703,3,2,1
3.0,14.0,1124.877031,12.487703,3,2,1
3.5,14.0,1124.877031,12.487703,3,2,1
4.0,14.0,1124.877031,12.487703,3,2,1
4.5,14.0,1124.877031,12.487703,3,2,1
5.0,14.0,1124.877031,12.487703,3,2,1
13.0,6.5,1124.708821,12.470882,3,2,1
13.5,6.5,1124.708821,12.470882,3,2,1
14.0,6.5,1124.708821,12.470882,3,2,1
14.5,6.5,1124.708821,12.470882,3,2,1
15.0,6.5,1124.708821,12.470882,3,2,1
8.0,6.5,1124.301004,12.4301,5,3,2
15.5,6.0,1123.625038,12.362504,3,2,1
9.5,10.0,1123.616634,12.361663,3,2,1
10.0,10.0,1123.616634,12.361663,3,2,1
16.0,4.5,1123.53794,12.353794,3,2,1
16.0,5.0,1123.53794,12.353794,3,2,1
16.0,5.5,1123.53794,12.353794,3,2,1
1.0,18.0,1122.765344,12.276534,3,2,1
11.0,9.5,1122.504735,12.250473,3,2,1
12.0,8.5,1122.024156,12.202416,3,2,1
12.5,8.5,1122.024156,12.202416,3,2,1
1.0,5.0,1121.759091,12.175909,11,6,5
11.5,9.5,1121.330018,12.133002,3,2,1
2.0,8.5,1120.544325,12.054432,5,3,2
15.5,6.5,1120.038367,12.003837,3,2,1
5.5,7.0,1119.21644,11.921644,5,3,2
6.0,7.0,1119.21644,11.921644,5,3,2
6.5,7.0,1119.21644,11.921644,5,3,2
16.0,6.0,1119.103399,11.91034,3,2,1
1.5,9.0,1118.718868,11.871887,5,3,2
8.5,4.5,1118.540457,11.854046,5,3,2
8.5,5.0,1118.540457,11.854046,5,3,2
8.5,5.5,1118.540457,11.854046,5,3,2
1.0,5.5,1117.799397,11.77994,11,6,5
1.5,17.0,1117.79175,11.779175,3,2,1
2.0,17.0,1117.79175,11.779175,3,2,1
1.5,17.5,1117.79175,11.779175,3,2,1
2.0,17.5,1117.79175,11.779175,3,2,1
10.5,10.0,1117.181011,11.718101,3,2,1
1.0,18.5,1116.120111,11.612011,3,2,1
1.0,10.0,1115.913524,11.591352,5,3,2
2.5,7.0,1115.904589,11.590459,7,4,3
5.5,4.0,1115.845744,11.584574,8,4,4
16.0,6.5,1115.531161,11.553116,3,2,1
1.5,9.5,1114.769905,11.476991,5,3,2
7.0,7.0,1114.767708,11.476771,5,3,2
13.0,7.0,1114.524883,11.452488,3,2,1
13.5,7.0,1114.524883,11.452488,3,2,1
14.0,7.0,1114.524883,11.452488,3,2,1
14.5,7.0,1114.524883,11.452488,3,2,1
15.0,7.0,1114.524883,11.452488,3,2,1
16.5,4.5,1114.196901,11.41969,3,2,1
16.5,5.0,1114.196901,11.41969,3,2,1
16.5,5.5,1114.196901,11.41969,3,2,1
8.5,6.0,1114.125641,11.412564,5,3,2
12.0,9.0,1114.032334,11.403233,3,2,1
12.5,9.0,1114.032334,11.403233,3,2,1
17.0,4.5,1112.96312,11.296312,3,2,1
17.0,5.0,1112.96312,11.296312,3,2,1
17.0,5.5,1112.96312,11.296312,3,2,1
4.0,5.0,1112.905838,11.290584,7,4,3
4.5,5.0,1112.905838,11.290584,7,4,3
4.0,5.5,1112.905838,11.290584,7,4,3
4.5,5.5,1112.905838,11.290584,7,4,3
2.0,9.0,1112.563043,11.256304,5,3,2
11.0,10.0,1112.49953,11.249953,3,2,1
